Nomor;Asal;Tujuan;Jarak
1;9103;9104;12
2;9103;9108;64
3;9103;Tangga_Lantai_Dasar_NE;17.5
4;9104;9103;12
5;9104;9107;64
6;9104;Tangga_Lantai_Dasar_NW;17.5
7;9107;9104;64
8;9107;9108;12
9;9107;Tangga_Lantai_Dasar_SW;17.5
10;9108;9103;64
11;9108;9107;12
12;9108;Tangga_Lantai_Dasar_SE;17.5
13;9121;9122;12
14;9121;Tangga_Upper_LT2_SE;10.5
15;9122;9121;12
16;9122;Tangga_Upper_LT2_NE;10.5
17;9123;9124;12
18;9123;Tangga_Lower_LT2_NE;3.5
19;9124;9123;12
20;9124;Tangga_Lower_LT2_NW;3.5
21;9125;9126;12
22;9125;Tangga_Upper_LT2_NW;10.5
23;9126;9125;12
24;9126;Tangga_Upper_LT2_SW;10.5
25;9127;9128;12
26;9127;Tangga_Lower_LT2_SW;3.5
27;9128;9127;12
28;9128;Tangga_Lower_LT2_SE;3.5
29;9131;9132;12
30;9131;Tangga_Lower_LT3_SE;3.5
31;9132;9131;12
32;9132;Tangga_Lower_LT3_NE;3.5
33;9133;9134;12
34;9133;Tangga_Upper_LT3_NE;10.5
35;9134;9133;12
36;9134;Tangga_Upper_LT3_NW;10.5
37;9135;9136;12
38;9135;Tangga_Lower_LT3_NW;3.5
39;9136;9135;12
40;9136;Tangga_Lower_LT3_SW;3.5
41;9137;9138;12
42;9137;Tangga_Upper_LT3_SW;10.5
43;9138;9137;12
44;9138;Tangga_Upper_LT3_SE;10.5
45;Toilet_NW_LT1;Tangga_Lantai_Dasar_NW;14
46;Toilet_NW_LT2;Tangga_Upper_LT2_NW;7
47;Toilet_NW_LT3;Tangga_Upper_LT3_NW;7
48;Toilet_SE_LT1;Tangga_Lantai_Dasar_SE;14
49;Toilet_SE_LT2;Tangga_Upper_LT2_SE;7
50;Toilet_SE_LT3;Tangga_Upper_LT3_SE;7
51;Tangga_Upper_LT2_SE;9121;10.5
52;Tangga_Upper_LT2_SE;Toilet_SE_LT2;7
53;Tangga_Upper_LT2_SE;Tangga_Lower_LT2_SE;7
54;Tangga_Upper_LT2_SE;Tangga_Lower_LT3_SE;14
55;Tangga_Upper_LT2_NE;9122;10.5
56;Tangga_Upper_LT2_NE;Tangga_Lower_LT2_NE;7
57;Tangga_Upper_LT2_NE;Tangga_Lower_LT3_NE;14
58;Tangga_Upper_LT2_NW;9125;10.5
59;Tangga_Upper_LT2_NW;Toilet_NW_LT2;7
60;Tangga_Upper_LT2_NW;Tangga_Lower_LT2_NW;7
61;Tangga_Upper_LT2_NW;Tangga_Lower_LT3_NW;14
62;Tangga_Upper_LT2_SW;9126;10.5
63;Tangga_Upper_LT2_SW;Tangga_Lower_LT2_SW;7
64;Tangga_Upper_LT2_SW;Tangga_Lower_LT3_SW;14
65;Tangga_Upper_LT3_SE;9138;10.5
66;Tangga_Upper_LT3_SE;Toilet_SE_LT3;7
67;Tangga_Upper_LT3_SE;Tangga_Lower_LT3_SE;7
68;Tangga_Upper_LT3_NE;9133;10.5
69;Tangga_Upper_LT3_NE;Tangga_Lower_LT3_NE;7
70;Tangga_Upper_LT3_NW;9134;10.5
71;Tangga_Upper_LT3_NW;Toilet_NW_LT3;7
72;Tangga_Upper_LT3_NW;Tangga_Lower_LT3_NW;7
73;Tangga_Upper_LT3_SW;9137;10.5
74;Tangga_Upper_LT3_SW;Tangga_Lower_LT3_SW;7
75;Tangga_Lower_LT2_SE;9128;3.5
76;Tangga_Lower_LT2_SE;Tangga_Upper_LT2_SE;7
77;Tangga_Lower_LT2_SE;Tangga_Lantai_Dasar_SE;21
78;Tangga_Lower_LT2_NE;9123;3.5
79;Tangga_Lower_LT2_NE;Tangga_Upper_LT2_NE;7
80;Tangga_Lower_LT2_NE;Tangga_Lantai_Dasar_NE;21
81;Tangga_Lower_LT2_NW;9124;3.5
82;Tangga_Lower_LT2_NW;Tangga_Upper_LT2_NW;7
83;Tangga_Lower_LT2_NW;Tangga_Lantai_Dasar_NW;21
84;Tangga_Lower_LT2_SW;9127;3.5
85;Tangga_Lower_LT2_SW;Tangga_Upper_LT2_SW;7
86;Tangga_Lower_LT2_SW;Tangga_Lantai_Dasar_SW;21
87;Tangga_Lower_LT3_SE;9131;3.5
88;Tangga_Lower_LT3_SE;Tangga_Upper_LT2_SE;14
89;Tangga_Lower_LT3_SE;Tangga_Upper_LT3_SE;7
90;Tangga_Lower_LT3_NE;9132;3.5
91;Tangga_Lower_LT3_NE;Tangga_Upper_LT2_NE;14
92;Tangga_Lower_LT3_NE;Tangga_Upper_LT3_NE;7
93;Tangga_Lower_LT3_NW;9135;3.5
94;Tangga_Lower_LT3_NW;Tangga_Upper_LT2_NW;14
95;Tangga_Lower_LT3_NW;Tangga_Upper_LT3_NW;7
96;Tangga_Lower_LT3_SW;9136;3.5
97;Tangga_Lower_LT3_SW;Tangga_Upper_LT2_SW;14
98;Tangga_Lower_LT3_SW;Tangga_Upper_LT3_SW;7
99;Tangga_Lantai_Dasar_SE;9108;17.5
100;Tangga_Lantai_Dasar_SE;Toilet_SE_LT1;14
101;Tangga_Lantai_Dasar_SE;Tangga_Lower_LT2_SE;21
102;Tangga_Lantai_Dasar_SE;Tangga_Lantai_Dasar_NE;36
103;Tangga_Lantai_Dasar_SE;Tangga_Lantai_Dasar_SW;45
104;Tangga_Lantai_Dasar_NE;9103;17.5
105;Tangga_Lantai_Dasar_NE;Tangga_Lower_LT2_NE;21
106;Tangga_Lantai_Dasar_NE;Tangga_Lantai_Dasar_SE;36
107;Tangga_Lantai_Dasar_NE;Tangga_Lantai_Dasar_NW;45
108;Tangga_Lantai_Dasar_NW;9104;17.5
109;Tangga_Lantai_Dasar_NW;Toilet_NW_LT1;14
110;Tangga_Lantai_Dasar_NW;Tangga_Lower_LT2_NW;21
111;Tangga_Lantai_Dasar_NW;Tangga_Lantai_Dasar_NE;45
112;Tangga_Lantai_Dasar_NW;Tangga_Lantai_Dasar_SW;36
113;Tangga_Lantai_Dasar_SW;9107;17.5
114;Tangga_Lantai_Dasar_SW;Tangga_Lower_LT2_SW;21
115;Tangga_Lantai_Dasar_SW;Tangga_Lantai_Dasar_SE;45
116;Tangga_Lantai_Dasar_SW;Tangga_Lantai_Dasar_NW;36
